requester_id	pay	comm	fast	fair	reviews	tos_flags
A12IDDEZQT7OGW	0	0	0	0	1	0
A12IRJCLMI131Q	1.67	1	2.5	3	3	0
A12J6JXK08EKZI	3.14	3	3.83	3	7	0
A12K1AVXD4MPNN	5	0	5	5	1	0
A12KG09ED4CXPJ	2.87	2.08	2.75	3.58	64	0
A12MAH2TTV7GCK	1	0	0	0	1	0
A12MGP1DP2176E	1	0	0	1	2	0
A12MIRV6NOE665	2	5	5	5	3	0
A12N3EU51LL20T	3.67	5	4.5	5	13	0
A12NR66JEG8VAJ	5	5	5	5	1	0
A12O6F2A84M7B0	4.94	5	5	5	17	0
A12PGNNJHGXAGI	4.4	2.33	4	4.1	10	0
A12RCA0YTAFM0A	5	0	0	0	1	0
A12RNRZG3BMBBG	2.4	0	4.5	4.2	10	0
A12S1TNKJ11UGG	4.33	3.67	4.5	4	14	0
A12TCN6FFACEQS	5	5	4.33	5	3	0
A12U2V0DPSI01L	3.69	1	4.55	4.6	13	0
A12X1J8KXFC3GZ	3.87	5	5	5	16	0
A12ZH08DBIQZWV	3.7	0	5	4.56	12	0
A133PH0WNTWBS1	4.22	5	5	5	56	0
A134T7UJ7WTSL5	3.26	3	3.44	3.79	43	0
A135XJ4D20LZG1	2.42	1.4	2.5	2.58	24	0
A139ZJZLY33P83	4	0	4.75	5	7	0
A13CVTNL9DF03W	2.93	4.43	4.5	4.11	20	6
A13DRPLGSKM5QD	4.78	5	5	5	9	0
A13EP1HO0F4GX	4.17	5	5	5	6	0
A13FVLMLUTH7ND	4.78	4.78	4.89	4.89	180	0
A13HHWEMC7SIKQ	3.5	5	5	4.33	4	0
A13O4TTG98TG6C	5	2	4.67	5	3	0
A13S5S7NYG6M77	2.8	2.29	3.71	3.71	13	0
A13TEH5L3IX3T	4.75	0	5	5	4	0
A13U90973PXQE7	2.87	2.83	2.53	2.64	16	0
A13UF5FE1C1IYW	1.78	3	4.75	4.5	10	0
A13UHL5YRQS01R	4.5	1	5	5	7	1
A13XN7CZ7T7PBG	2.71	1	3.67	4	7	0
A13YR78EM3E1O0	4.75	5	5	5	4	0
A13ZEK01BBA7AC	3.92	5	4.68	4.84	26	0
A1400PB2YFEHGE	3.73	0	4.56	5	13	0
A1402D8IUJQZ0D	4.92	4.64	4.83	5	13	0
A1402JAHG9LVEH	2.71	1	2.71	2.71	9	1
A140NSC98ADOHE	4.59	4.56	4.93	5	17	0
A14178K5MGQYJ3	3.83	1.67	3.67	3.83	7	0
A144X9L78LR5AV	2.71	5	5	5	8	0
A149CPE96W65CG	1.56	1	3.67	3.67	9	2
A14AT838CPSKA6	3.88	2.44	4.42	4.14	87	0
A14DDT9HK8F9N8	2.5	0	5	5	2	0
A14FZ5PITXJT3U	3.27	4.83	5	5	11	0
A14GD0YH1TT0U9	3.88	3.36	4	4.38	37	0
A14H4P31QVQZR7	3.91	3.82	4.14	4.15	26	0
A14I3Z1ZJTB3S2	5	0	5	0	4	0
A14IYG3B4L4KW8	2.71	2.67	3.17	3.67	7	0
A14L8R1TIM2T2B	3.25	3.67	2.5	1.67	4	0
A14LGZDHREPO6	5	5	5	5	4	0
A14LHZHY0E4Y11	5	5	5	5	6	1
A14LO61JTHS2ME	3.38	3.29	4.58	3.67	16	0
A14MVF6YETAP5B	2.63	3.4	4	4.2	9	0
A14NFF7S7CQ4IQ	2.5	1	3	1.5	2	0
A14NHX7CPO17NX	1.5	0	5	5	4	0
A14RDIKJG0V5TD	4.15	3.69	4.43	4.54	126	4
A14RT29VYWK91D	4.75	5	5	5	4	0
A14RVZJFEIH503	4.19	3.6	4.7	4.03	40	0
A14S5TSNJO4HX1	2	0	5	5	1	0
A14TTKJHMM8PDF	5	5	5	5	1	0
A14U6L37SDP269	3	5	5	5	5	0
A14V17PCR9UIOJ	1	1	1	1	2	1
A14WBGTX7XKF4F	5	0	5	5	2	0
A1506I40T60UJ2	3.53	4.75	5	5	15	0
A151QZ1USQU0B2	4	2.5	4.25	4	18	0
A152F0I0ZLF1IG	4.24	3.8	4.6	4.5	17	0
A1536DZ86BLP7J	4	3	5	3	2	0
A1543KIUXS84NV	5	5	5	5	1	0
A1567R6063Z4GS	4.67	2.33	5	3	4	0
A157LCUPYX7AWV	4.83	5	5	5	12	0
A157UH8ZVUCLIP	3.14	1	3.67	3.5	9	0
A158W096HC5ZL5	5	0	5	5	3	1
A15CC65CB4I7P	5	0	5	5	2	0
A15DQ3LJJUVVBU	3.82	2.2	3.2	2.89	13	0
A15H0LB6D1DHDQ	4.63	3.5	4.69	4.19	16	0
A15H5KLZKPBBLD	2.4	1	4	4	11	0
A15HTJTGHH26A2	3.52	2.65	3.83	3.69	98	4
A15J4GPMZLF6T8	1	0	4.5	5	3	0
A15JMNFM3S9SN2	4.48	3.6	4.46	4.34	31	0
A15LYUJ2C3W7XO	5	5	5	3	4	0
A15MBN08U436M	3.9	1	4.5	4.5	10	0
A15OV4L8HXBKSM	4.58	4.37	4.67	4.69	53	0
A15Q0MOIFZ38DL	4	0	4.67	5	4	0
A15QP5LE2HSOZ	4.33	5	5	5	3	0
A15RVNDLQAQZFZ	2	0	5	5	1	0
A15SL5I2FBBWOE	3.33	3.79	4.2	4.29	38	0
A15U2U02IXI4LO	4.59	4.29	5	5	17	0
A15UMIW1IZCXRG	2.57	1	2.43	2.33	7	0
A15UONI5JK5UH2	5	5	5	5	4	0
A15VBC6OEAH8BS	4.75	5	5	5	10	0
A15WGU8KMQC23X	5	0	5	5	1	0
A15XGBBYAKKPBO	3.71	4.43	4.94	5	25	0
A15XR2N7HYZG6I	5	0	5	5	2	0
A15ZD7VH48Z907	3.33	3.67	5	5	9	0
A15ZYFX623MLUO	4.11	3.8	2.83	3.5	9	0
A162LNBD8NGN6Y	3	0	5	5	2	0
A163A5ZMUKOOV6	3.83	2.92	3.49	3.32	39	0
A167CVK0TN5P29	2.08	1.58	2.45	1.23	131	1
A168FSCZHBYICN	5	5	5	5	3	0
A168VNOF2441SK	3.78	2.81	3.71	3.52	48	0
A1692SPP0DBHC7	2.53	4.2	4.33	4.56	19	1
A169649PJCTYRN	4.31	5	4.6	5	17	0
A16EAV4S51N34J	4.58	3.9	4.53	4.87	54	0
A16FGDNFQ7TR2L	1	0	0	0	2	1
A16G6X0J2GNTSL	3.5	0	5	5	4	0
A16JJSL15Q6OOX	5	0	5	5	2	0
A16MCHZ4VPZVDE	3.33	5	5	5	3	0
A16PXAPBST1BJR	3.5	5	5	5	2	0
A16SDTGCHNKPV9	3.88	0	5	5	8	0
A16UHEUWJL0TPQ	0	0	0	0	1	1
A16V0ZS5SLCM5S	3.74	2.93	3.84	3.54	89	0
A16V4J9G99AWSB	3.71	2.6	4	4.06	30	2
A16VEVDBF5GX4M	0	0	0	0	1	0
A172QAH279V7JV	4.4	0	5	4.2	5	0
A1747RL71SV75E	2.71	4	4.5	4.5	7	0
A174QMSC0ZRXZT	3.9	4	4.81	4.71	33	0
A1763QTPIHVSTM	4.5	5	5	5	2	0
A17DI03NLF4BGO	1.5	2	1.5	1	7	0
A17EH1DBNE4ORY	3	1	2.5	3	3	0
A17FG3076SIW71	4.57	3.75	4.86	4.38	10	0
A17GKYKR5IHV1E	4.75	4.33	4.75	4.75	16	0
A17GTJ71I4XVH5	3	2.6	3.5	3.38	9	0
A17GWB9OBLBJV5	2.83	1	2.67	3.17	6	0
A17JGCRRI5E6UN	5	5	5	5	1	0
A17KLBWRZ7M97G	4.93	5	4.98	5	46	0
A17L72PP9P8C6L	5	0	5	5	3	0
A17MQNC8UN2ES9	3.1	3.05	4.36	4.35	67	3
A17MSLDSJ2A23T	2.83	3	4	4	10	7
A17N89VYQB0DF6	3.36	4	4.56	4.6	14	0
A17O0L3776LN8I	2.5	1	4.67	3	6	0
A17QHJR94TF3PI	5	5	5	5	3	0
A17R47W3TI8WGI	4.56	4.67	4.88	4.89	20	0
A17RRO4CXGCWT0	4.67	0	5	5	3	0
A17RUSXZ13IA8V	4	5	3	3	6	4
A17SG5BX4JE5OO	3.52	3.23	3.55	4.14	26	0
A17U2KU5UZP5I4	3.5	0	5	5	6	0
A17W0Q1WNERYBY	4	0	5	5	5	0
A17XJPFXGIAWEV	3.18	5	4.91	5	17	0
A181AHSJE11HQF	4.85	4.96	4.97	5	126	0
A181PQV4Q8S5S0	4.33	5	2.67	3.67	3	0
A184TOLZKMYFLI	3	3.4	4.5	4.6	17	0
A1862GYZQUX047	1	1	1	1	1	1
A186SKPM4CPVWY	4.5	2.75	4.5	4.38	8	0
A18AJJ8UF3O2GC	5	0	5	5	1	0
A18AY5PQRARDP3	1	0	1	1	1	1
A18BELXCJL9SPK	4.67	0	5	5	3	0
A18CBTWO2TSJF7	4.68	5	4.81	4.81	28	0
A18CIQ1OEIS8OM	1.75	1	2	2	10	6
A18FWM3BGZIW4S	4.7	4.2	4.86	4.86	33	0
A18GPPKQU9ZMA1	4	0	4	5	2	0
A18HD9GU3WED8M	3	2.33	2.6	2.6	5	0
A18K51F8VHXII	3.33	0	0	0	3	0
A18KK4NHJ2I3D	1	0	0	0	4	1
A18KRGGSRB8FRE	5	0	5	5	1	0
A18RKXWLBNICC1	3.55	3.11	4	3.31	15	0
A18SEJY0Q0XHSY	2	0	3.67	3.67	3	0
A18T6QECMVSV40	5	4.5	5	5	3	0
A18THWK9TJY2LZ	2.82	1.88	3	2.5	12	0
A18TW9R5ZMI8HO	4.06	5	5	5	17	0
A18TXM6GMU1411	5	5	5	5	3	0
A18V0G9G9QGJOA	4.47	3.67	4.69	4.75	17	0
A18X69D8YPE01Y	2.3	1.19	2.18	1.85	138	5
A18XUCUKY5X7KW	3	2	3.9	4.25	20	1
A18Z2Q7NZP85US	4.13	5	5	5	8	0
A18ZU3HHW18D7O	3.71	3.25	4.29	4.9	21	0
A191U4JR1KV3N5	5	5	5	5	1	0
A192XTIW2YQFC7	1	5	4	2.5	3	0
A1959CMITFGDU9	5	0	5	5	1	0
A199E35MSW16HW	0	0	0	2	1	0
A19AQVZE43DEI7	1	0	5	5	1	0
A19F993DBWDT07	5	0	4	5	1	0
A19HMOAAODUSAF	4.4	5	4.8	5	22	0
A19J4PQYX6NGWT	4.43	3.67	4.43	4.43	7	0
A19KFNEFOL40ND	3.4	0	4.2	5	7	0
A19MC2NVRBVP1Q	3.5	5	5	5	2	0
A19NF3HMR2SC0H	4.68	4.41	4.73	4.78	80	0
A19PAYMILALH6X	3.67	0	4.5	5	3	0
A19S3U4NYPVJ3P	2.33	2	3	3	4	0
A19T2C72BVYQE4	4.16	2.6	3.06	3.75	20	0
A19UJ67EFC2JCG	2.33	0	4.33	5	3	0
A19W46AYZUAWOV	4.33	3.29	4.57	4.57	21	0
A19XEEWQO2F8DR	3.5	1	3.29	3	10	0
A19YUITTLPJCMF	4.27	5	5	5	22	0
A1A2GXG7IRMJG2	4	0	5	5	1	0
A1A4STCHQMCE6A	3.8	0	5	5	10	0
A1A9FVZYQA8GBX	2.49	3.03	2.72	3.3	110	1
A1A9ZDWOSYCWJF	3.6	4	3.6	3.8	6	0
A1AA7EJ6O2QL4J	3.78	3.71	4.67	3.67	10	0
A1ABWLJ5FAEBU5	4.67	0	5	5	3	0
A1AEJPGR0TZU7L	4	5	5	5	12	0
A1AF2RQ8AF79AP	3.32	4.15	4.39	4.57	52	1
A1AF4IY2COHTDX	0	0	1	0	1	0
A1AG958OMJXUAC	3.42	4.71	4.9	5	19	0
A1AIXBBHZ1GHIH	1.95	2.13	2.73	3	26	0
A1AMTFG5TVD925	0	0	0	0	1	0
A1ANPBMS07GGAX	4.94	5	5	5	18	0
A1AOQ6AGQK7EUB	2	2.33	3.5	3.25	9	0
A1AQ7EJ5P7ME65	2.89	2.56	3.3	3.6	119	3
A1ATFKESKXACWG	3.07	3.67	4.9	4.89	17	1
A1AUC55UAIUHBG	4.19	4.2	4.75	4.71	17	1
A1AV1E3J48HZ4Q	2.75	1	3.67	3.67	4	0
A1AWRGRBRQJ56C	1	0	0	0	1	0
A1AXC4S9PR04B3	1	1	1	1	2	2
A1AY8IGRP1W01D	5	0	5	5	1	0
A1AYUOMMTIGT08	1.14	1	1	1	10	7
A1AZB80T7X8NL4	1	3	5	1	1	0
A1B0EXCYDHOTKA	4.33	5	5	3.75	4	0
A1B1HKBOWQ4RNE	3.78	4.86	4.88	5	28	0
A1B2ILT2409W4R	4.06	3.88	4.57	4.61	74	1
A1B2UK417FNFR3	5	0	5	5	1	0
A1B3VG4UTYL3TG	3.11	4	4.76	4.68	38	0
A1B3W9W0V3N6FP	3.8	2.33	3	3.6	5	0
A1B88LZPOPVEF0	4.5	1	4	3.78	11	1
A1B8T03Z24Y97B	3.5	3.67	4.25	3	4	0
A1B8TWJV1HMPTJ	1	1	1	1	1	0
A1BC7M76R2TEI7	3.33	3.4	3.57	3	7	0
A1BEUOVV61OZRO	2.8	1	3.07	2.65	23	0
A1BFN5Y748JZ8X	3.91	5	4.88	5	11	0
A1BLOLZN3RL6G7	3.47	5	4.82	5	20	0
A1BM35NPP0Y6VB	4	5	5	5	16	0
A1BOV2YJ45W2G8	2.2	1	4.2	3.8	15	0
A1BP7YSVE5RTV1	2.74	1.8	2.1	3.44	21	0
A1BQL7CVPSK3GG	5	5	5	5	1	0
A1BSP316YYT00P	5	0	5	5	1	0
A1BVBZ25LTXKSY	1	0	0	0	1	0
A1BY8EQA8D4HM0	4.31	5	5	4.82	13	0
A1BYK09F4UJV9R	5	0	5	5	4	0
A1BYLCCC3LKY7K	4	0	5	5	1	0
A1C40RO2GBSHFB	3.86	3	3.6	4	7	0
A1C5D8662AK5TT	4.67	3	5	5	8	0
A1C6GAPI0IIGT6	3.43	1	3.67	4.2	8	0
A1C74356UTVHOJ	3.11	2.08	3.07	2.79	60	0
A1C7FFZSBTS8L9	4.1	2.67	4.38	3.67	11	0
A1C7RJUW3XBUA3	3.17	2.45	3	3.43	35	1
A1C7V4XLHDN6NQ	3.4	3	3.82	3.72	32	0
A1C8AC2CHIOPZ7	5	5	5	5	13	0
A1C8LTY41EOIYZ	2.88	3.67	4.43	3.9	19	0
A1CAVZVOJ49B9E	2.38	2.33	2.5	2.5	8	0
A1CB00PW5XI8F7	1.5	4.5	3	5	2	0
A1CDMO0BD2YC8O	4.54	5	4.93	5	14	0
A1CEBF7WRZ74YK	3.41	4	4.59	4.69	72	0
A1CH5LX4F5MIFB	1	0	0	0	2	0
A1CI31YDY9N7L9	5	5	5	5	2	0
A1CIWXNS1J4X6E	2.82	5	5	5	18	0
A1CKEISKSOZ5HD	1.75	1.75	2	3.13	14	0
A1CKQ5OV5ZBJBJ	2.39	2.77	3.18	3.89	174	2
A1CL5H3PYTNTSP	4	0	5	5	2	0
A1COPYTQ5GFMSQ	5	5	5	5	2	0
A1COS72TNUKFZU	4.6	5	5	5	5	0
A1CQ87HN9ZRCCU	5	5	5	5	1	0
A1CQFFFNFJ9ZT5	3.67	0	5	4.2	7	0
A1CRAYZ4E6PCCO	1	0	0	0	1	0
A1CSJS40VZVQGT	3.67	3.67	3.67	3.67	3	0
A1CTI3ZAWTR5AZ	2.28	1.41	3.06	1.85	121	0
A1CXN4QIMJ57CX	5	0	5	5	3	0
A1D0PJRNA3IAH7	5	5	5	5	1	0
A1D21IDXBU78AZ	5	4.75	5	4.8	5	0
A1D232GWKUHY09	3.75	5	5	5	4	0
A1D2JWISJX5DC7	4.5	0	5	5	6	0
A1D2OIW1ODAC5T	4.07	1.8	4	3.25	18	0
A1D3SKHUTEFYCA	4.92	5	4.82	5	13	0
A1D3TEW14SPDKU	4.08	4.57	4.87	4.93	90	0
A1D3XHIK4LPPBM	3.33	1	3.78	3.11	10	0
A1D4D6550II7V4	2.56	3.4	3.14	3.67	9	0
A1D4RPB8BT8OVC	3	1	4	3.33	7	0
A1D85MX9Z3H520	3.33	2.57	3.27	3.31	42	2
A1D8N31BU7EUNQ	2.75	2	3.67	2.75	4	1
A1DB8QDWTGBN3A	3	0	5	5	2	0
A1DBB6HRJQ755M	2	0	0	0	1	0
A1DCCXP95443J7	3	2.2	4.33	3.5	10	1
A1DDFBPFHX5TDN	1.4	2.5	1	1	5	0
A1DE37NPIW8B0W	2.83	5	4.75	5	6	0
A1DEUNN0954WZK	5	5	4.93	5	16	0
A1DGSB2GKASN7Q	4.09	4.33	4.44	4.38	49	0
A1DIWKR9NEY82N	4.22	4.18	4.08	4.38	52	2
A1DMRZIUOKFD6H	3.71	3.4	4.14	4.21	19	1
A1DP2HRLIPH7TF	4.04	5	5	4.8	24	0
A1DQ7FGF7C1A09	3.6	5	4	5	5	0
A1DQVDF7J9ERWL	3	3	4.5	3	2	0
A1DUVODVLBQ1BT	5	0	5	5	3	0
A1DXBA3YB0YGD1	1.94	1	3.25	3.33	18	0
A1DZR024Y83HT7	1	0	0	0	2	0
A1E1T9H7XS3FJ5	3.88	2.86	3.65	3.5	27	0
A1E2WX38I3F2V1	1.88	2.33	3.2	3.2	9	0
A1E4KJX7QUDVE8	3	5	4.5	5	5	0
A1E5U19XPWYYYL	4.2	3.67	4.2	4.2	5	1
A1E5V9QMRNIGS3	5	0	5	5	4	0
A1E6AB785Y9FNZ	3.56	4.68	4.7	4.96	67	0
A1E8FS7O72ISB9	4.88	5	4.67	5	9	0
A1EC8CWSAB9XW6	4.25	2	3.33	4.17	12	0
A1ECMMA9L8JTV5	4.67	0	4.9	5	12	0
A1ECVN89D900F3	4.8	0	5	5	5	0
A1ED1JNE32N8IZ	5	0	5	5	1	0
A1EFF0ADLFO4X2	5	5	5	5	9	0
A1ELD0P54WVAUX	3.55	2.67	3.71	3.93	51	0
A1ELKVZ2J83ZH	3	2.43	3.38	3.92	17	2
A1ENWD4XKT1D8O	2.81	5	4.3	4.6	18	0
A1EO1SQW6P4IXG	3.25	3.33	3.67	3	4	0
A1EVMS1IT73I4A	3	3.67	4.17	4.28	24	0
A1EWV471NP2BEK	3.5	5	5	5	2	0
A1EX1Y1J6BIJVO	3.71	4	4.62	4.77	14	0
A1EYB6OGMSJNT5	4.15	5	5	5	13	0
A1EYLLHYJSRVB8	3.58	3.75	4.69	4.77	41	0
A1EZZLWZ541NS0	2.09	1	2.13	2.5	11	2
A1F09BVT3QHSHH	3.4	2.25	3.2	3.2	5	0
A1F0FTMCXR9GAH	5	0	5	5	4	2
A1F1L6P4L69ZJG	3.45	2.29	3.83	3.83	31	0
A1F30FXKDK02KO	2.92	3.81	4.24	3.95	53	0
A1F8GSVVSFQ5MM	4	3.67	4	4.25	4	0
A1F90BHRDTUAKK	3.43	4.67	4	5	8	0
A1F9W6UY3YL34J	4.07	4.79	4.78	4.83	58	0
A1FDJ65X0XFT5M	3.6	3.33	4	4	5	0
A1FEI0A117L1F6	2.93	2.55	2.57	2.79	19	9
A1FGXSDX5KNH1G	4.43	1	4.2	3.67	8	0
A1FJIA8JXLS6RO	2	1	2.33	2.33	4	0
A1FKBHJQ3X8U51	5	0	5	5	1	0
A1FNEO4EM92QZT	3.75	2	4	3.29	10	1
A1FOW895HPMP03	5	0	5	5	3	0
A1FREWZNLBU9GR	5	5	5	5	4	0
A1FRNYP4JBDAB6	3.29	3.4	4.08	4.67	16	1
A1FVAVBJHU9B21	4.8	0	5	5	5	0
A1FW2P8KXRLAHV	3.6	3.25	4.42	4.58	31	0
A1FYK8HI1XZCYI	4.5	0	5	5	4	0
A1FYZ3NCQBBZB0	3	0	5	5	1	0
A1G19FR6J7V23R	3.76	4.43	4.56	4.88	26	0
A1G744Q3D2AZFL	4	0	5	5	2	0
A1G7933VMFKI8U	0	0	0	0	1	0
A1G7E7ZX92MFPX	2.89	2.14	3.11	2.67	10	1
A1G7K0R0M5GMCG	4	1	5	4.2	5	0
A1G89JOWM2WFWG	4.24	4.11	4.64	4.64	31	0
A1GAAAO9UD1AGP	2.5	1	5	3.67	5	0
A1GAU7OWTVOFM9	5	5	4.75	5	4	0
A1GB7E9GXAQ3VR	5	0	5	5	2	0
A1GCZNCKSUFSCR	5	0	5	5	3	0
A1GGKSW85B9DYY	1	1	1	1	5	0
A1GHEKG3TRCQ5Y	5	0	5	5	1	0
A1GLR1PV5UV5JI	1	1	1	1	1	1
A1GMTGUT62MYOI	5	0	5	5	6	0
A1GQ5GKI1X82CU	4.75	0	5	5	4	0
A1GQGCAQ7KHGTL	5	5	5	5	1	0
A1GRUVMD2KY0U6	4.17	0	5	5	6	0
A1GV3F89PUWDWR	2.07	1.5	2	2.14	17	0
A1GVUBTMKWB3LG	4.67	3	4.4	5	6	0
A1GWK23DZB0F46	5	0	5	5	1	0
A1H0A3SN2Y4MR6	1	3	1	1	2	0
A1H1RRXCXIKO0R	4	0	5	5	1	0
A1H4TW1PXPYHPQ	3.25	1	3.25	4	5	0
A1H63ZNH8A1FJE	5	0	5	5	3	0
A1H7RFHQSYF198	2.5	5	4.83	4.43	14	0
A1H9CS3WE060RE	2.85	0	4.38	4.5	14	0
A1HCO3D6U2HMUH	4.22	5	5	5	9	0
A1HCO8X9X8CR6M	2.67	0	4.5	5	3	0
A1HD7VZDITED3N	4.17	3	5	5	7	0
A1HDUCIVGPNDMZ	1	0	1	1	2	0
A1HFFMR5RC5RJ0	5	5	5	5	1	0
A1HI9DWCF794RE	3.54	2.16	2.75	2.84	29	0
A1HJ5PVUHEY0W	5	5	5	5	8	0
