requester_id	followers	averages	pay	comm	fast	fair	reviews	tos_flags
AWXG3T7W04FVG	1	2.8025	2.71	2.33	3	3.17	9	0
A18KRGGSRB8FRE	1	3.75	5	0	5	5	1	0
A1B3VG4UTYL3TG	1	4.3175	3.13	4.38	4.92	4.84	40	0
A27RDRMZV5JBTW	1	1	1	1	1	1	6	0
A2N8CABDFRA47F	1	5	5	5	5	5	12	0
A3HLX5VXNHVITM	1	3.59	3.61	3	4	3.75	18	0
AQHXS4YXFCTFM	1	4.075	4.28	3.5	4.23	4.29	54	1
A1DGSB2GKASN7Q	1	4.1725	3.98	4.08	4.34	4.29	52	0
A37L47Q4PMMWY3	1	4.595	4.68	4.22	4.77	4.71	156	1
A1F09BVT3QHSHH	1	2.665	3	2	2.83	2.83	6	0
A4NYR93GJX1OK	1	3.75	5	0	5	5	2	0
A3AZIIU9Q53B2M	1	3.565	3.25	2.83	3.38	4.8	9	0
A29GOZE32W61NM	1	5	5	5	5	5	5	0
A3AYYY0T3VKP78	1	3.2575	2.82	2	4.07	4.14	26	0
AZUZUS728KPDF	1	3.5025	3.67	3.67	3.67	3	3	0
A1IKT38Y4OUR0G	1	4.865	4.55	5	4.91	5	11	0
A1KI227DNDG4K1	1	3.5825	4.33	0	5	5	3	0
A3CNRTV5RN1YEV	1	4.43	4.31	4.48	4.53	4.4	40	0
A3P94KJYF2KBLK	1	1	1	1	1	1	4	0
A1KFSRVD1H1D4C	1	4.0875	3.75	3.67	4.43	4.5	12	0
A1LWI1809TP5XH	1	3.4	4.2	0	4.4	5	5	0
A1XSXGTHKR6DND	1	2.875	2	0	4.5	5	2	0
A1O59F6GHGMAM9	1	3.75	5	0	5	5	2	0
A3GHVJP0MAUK1Z	1	3.25	3	0	5	5	2	0
A3HQF4BKXBPO3M	1	3.1825	3.03	2.14	3.53	4.03	43	0
A2QG4XREC4RB1C	1	2.8725	3.67	1	4	2.82	13	0
A3J0M9MZH85WD7	1	5	5	5	5	5	1	0
AUS7EXIIB1T9J	1	3.8075	4.5	3.67	4.2	2.86	9	2
A3L9KG1K0UGWDO	1	4.705	4.15	5	5	4.67	13	0
A1SH12CS04JI1J	1	4.32	4.35	3.8	4.57	4.56	48	3
AC0PMLGLVH8B6	1	2.1225	2	1.6	2.33	2.56	10	1
A1QO86OPEDBYOI	1	4.8575	4.43	5	5	5	7	0
A3NWU07H510EH6	1	4.5225	4.56	3.67	5	4.86	9	0
A3RM8FZ625AZW9	1	4.1225	3.41	4.27	4.33	4.48	36	0
A11ZMVM8AA3S1T	1	4.785	4.14	5	5	5	8	0
A3SC5BB4OINAKQ	1	2.82	3	2.25	3.2	2.83	6	0
A207HTPWALBOP5	1	4.9825	4.93	5	5	5	15	0
A3U4LJT22OTQZS	1	3.9625	3.32	3.5	4.44	4.59	25	0
A21R4IBOHRH3TN	1	4.7575	4.5	5	5	4.53	19	0
AJVAN0DJ4YYLK	1	2.985	3.09	2.46	3.09	3.3	28	0
A3YAR3S7T9K2J	1	3.6225	3	3	4.38	4.11	14	0
A1Y398PYJLNV19	1	4.565	4.33	4	4.93	5	15	0
AXS0Y7LJJKBUL	1	4.4575	4.31	4.11	4.85	4.56	27	0
A26I9EFYMESE2C	1	4.875	4.5	5	5	5	2	0
A8Y6LG00IJVKD	1	4.6575	4.44	4.25	4.94	5	16	0
A3TVZBDEF2DJG1	1	3.5025	3.67	3	3.67	3.67	3	0
ASE03B8LVPTZI	1	3.01	3.33	1	5	2.71	8	0
AAP1D67KORF6S	1	3.415	4.33	0	4.33	5	3	0
A13PT8BHDL8DC4	1	5	5	5	5	5	9	0
A1KNLHHKILEA9M	1	3.75	5	0	5	5	4	0
A2MROF32HR5CGP	1	0.25	1	0	0	0	1	0
A1RAMCMF30HTU3	1	3.575	4.3	0	5	5	12	0
A20GBZ4I0814I6	1	3.75	5	0	5	5	4	0
A34YSANQ8D2C7	1	3.8725	4	3	4.32	4.17	28	0
AF5URKSI8913N	1	3.75	5	0	5	5	1	0
A3C7UKE00I9MKL	1	2.88	2.56	3.29	3	2.67	10	0
A111PICPL4G0TF	1	4.7125	4.36	4.56	4.93	5	14	0
A3OI12PNB520P5	1	4.2575	3.83	4.2	4.67	4.33	12	0
A3QHQNMLZ6UGYQ	1	4.3325	3.84	4.25	4.58	4.66	48	1
A1XNIXFXRSJC1I	1	3.75	5	0	5	5	1	0
A151EM0NAKP3LZ	1	0.5	2	0	0	0	2	0
ATJXZQHA68ZV1	1	2.625	2.6	1.67	3.4	2.83	7	1
A21UZJK2JXF1KA	1	3.4175	2	3.67	4.33	3.67	5	0
AO94KE60EKIMI	1	4.78	4.87	4.25	5	5	16	0
A25UCO1HKO2H0L	1	2.65	2.6	0	4	4	5	0
A39Y80IRKQPEP7	1	3.25	3	0	5	5	3	0
A3E1KWUGM4KGK0	1	0	0	0	0	0	1	0
A17GML0UTZJB37	1	1.25	1	0	3	1	1	0
A35CQM17NI22B7	1	1.75	5	1	0	1	3	1
A2GCMLIRSCYBO1	1	3.3325	3.33	0	5	5	3	0
A26YLLHPMZB028	1	2.7075	2.5	2	3.33	3	7	0
A3TMYG1YKJU4NM	1	4.0075	3.2	4	4.5	4.33	11	0
A124HVXUZOCG24	1	4.965	5	5	5	4.86	7	0
AP27RLDE9UHSK	1	4.4025	4.41	4.36	4.44	4.4	84	1
A1C10ZZ24NJVBG	1	5	5	5	5	5	9	0
A3UFP0EOHUSTP4	1	2.25	2.75	1	2.25	3	5	0
A2GWPDONJKRGYU	1	4.8375	4.6	4.75	5	5	13	0
A2ANKNPEKA2753	1	3.215	2.86	2.6	3.6	3.8	15	3
A3AMI6PS5OXL93	1	3.625	4.3	1	4.6	4.6	10	0
A8V719XOX4B9H	1	4.75	4	5	5	5	8	0
A3DUS91YXA4Z9E	1	3.27	3.5	2.33	3.75	3.5	4	0
A27FC8WR5C7ESY	1	3.75	5	0	5	5	5	0
A2NH67D96Z82Z0	1	1.875	1.5	0	3	3	2	0
AL1OQJLLLIP6D	1	2.2	1.8	1	3	3	12	0
A3M9P42ZPTNPGD	1	4.5725	3.29	5	5	5	7	0
AY22FNNTT27IX	1	4.9375	4.75	5	5	5	4	0
A2AMJOI31EH4U4	1	3.25	4.5	0	4	4.5	2	0
A3QCPQD2M1M51Y	1	2.75	1	0	5	5	3	0
ABPLPKR7B3183	1	3.6675	3.72	3.37	3.87	3.71	32	0
AW0DCJ2R54JBE	1	3.2525	2.67	3	3.67	3.67	3	0
A31LLF548YBIE8	1	4.0325	4.8	3	4.33	4	6	0
A2B1JVCDQI2SNE	1	4.6	4.56	4.2	4.82	4.82	25	0
AYDCQGUPEZVAC	1	3.3125	3.14	2.43	3.89	3.79	33	0
A15OAOHKBJPP7D	1	3.75	5	0	5	5	3	1
A2D2QB6TWSH6SO	1	4.7625	4.15	5	4.9	5	13	0
AZPKAS44BDNNE	1	4.5675	3.92	5	4.56	4.79	26	1
A1W38RZ996UEOG	1	3.4925	3.17	3	4	3.8	13	0
A2IAUH4F23FK7Y	1	4	3	5	3	5	2	0
A24YY6JHKXD44N	1	0.25	0	1	0	0	2	0
A4E0RGGVMYP0	1	1	1	1	1	1	10	1
A2MD63TOQNAKBW	1	2.5675	1.27	3	3	3	12	0
A1I9UTZPN7DH5M	1	0.75	3	0	0	0	1	0
A3L9HWO0QGQEYE	1	0.5	1	0	0	1	2	0
A254A4TGHWYV0X	1	4.6875	4	5	4.75	5	5	0
A10M90Y8PUKQ1E	1	4.18	3.53	3.73	4.72	4.74	104	1
A2S2MAHER3SV7	1	4.66	4.41	4.78	4.76	4.69	53	2
A3B0WZWYQTDF0E	1	3.625	4.5	0	5	5	2	0
A11WZJZMSRLMJD	1	4.1375	3.45	3.67	5	4.43	12	0
A14749VFR2DP2X	1	3.625	4.5	0	5	5	2	0
A2UAA5X9MLDLSA	1	1	1	1	1	1	1	0
ANP2O6SIRNA5H	1	3.75	5	0	5	5	6	0
A135XJ4D20LZG1	1	2.225	2.42	1.4	2.5	2.58	24	0
A29O52DSEVRRIT	1	2.91	4.14	1	3	3.5	7	0
A14MVF6YETAP5B	1	2.9425	2.31	2.71	3.25	3.5	14	0
A3IWAJENNPP383	1	2.8	3.4	1	3.4	3.4	5	0
A2YO969C9Z5EUD	1	4.8225	4.82	4.58	4.94	4.95	63	0
A5E8P2L5P6JBS	1	4.5275	3.16	5	4.95	5	39	0
AYY5TBDO2MPWM	1	3.755	4	2.75	4.18	4.09	14	0
A3HAOMDYND890B	1	2.0825	2	2	1.33	3	5	0
A33NP7FXCP771M	1	4.91	4.79	5	5	4.85	30	0
A1NT4JAMY68HLG	1	5	5	5	5	5	5	0
A2RVNIG4NR0PL3	1	5	5	5	5	5	2	0
A34Y0INWSLX4AQ	1	4.23	3.9	4	4.67	4.35	34	0
A1C8LTY41EOIYZ	1	3.7925	3	3.67	4.5	4	22	0
A361N9XL4OF4FG	1	2.495	2.77	1.76	2.07	3.38	28	0
A1DEUNN0954WZK	1	4.985	5	5	4.94	5	18	0
A37IPCWI3OKNH9	1	5	5	5	5	5	1	0
APEKKLY0R9T7J	1	3.1275	3.63	0	4.38	4.5	8	0
A26RDF1I330AC8	1	4.7925	4.17	5	5	5	6	0
A39YZ5CCWDI0H7	1	2.6275	2.83	1.97	2.92	2.79	202	6
A1GPUW737TBP77	1	1	1	1	1	1	7	6
A1N42VECAVD0KI	1	3.25	3	0	5	5	1	0
A3AVSX9XPH68LR	1	3.875	3.56	3.86	4	4.08	21	0
A1S54N1BUA7HY6	1	5	5	5	5	5	1	0
A1IHMYWES2H7L	1	3.7825	3.38	3.5	4.19	4.06	17	0
A2HWR8G638YKQ1	1	2.5	1.33	3	2.67	3	3	0
A3CG26OBWM28EP	1	4.015	2.8	3.8	4.73	4.73	51	0
A32U3HT8GE0KCZ	1	5	5	5	5	5	2	0
A1A6OLG1TSN9F0	1	3.1675	3.67	2.33	3.67	3	4	0
A3EFWT2IGMC1UF	1	4.555	3.9	4.5	4.91	4.91	33	0
A2VMT6P7LDQE71	1	3.05	3.2	1	4	4	5	0
A3ICO3SV3V7DWH	1	3.5975	4.5	2.25	4.5	3.14	8	0
A27E9RPSLHPULC	1	2.9875	2	1	4.75	4.2	8	0
A3HLA091XVNMVU	1	4.515	4.67	4.67	4.64	4.08	16	0
A1PG2IN4ITZEG2	1	4.3725	4	4.86	4.5	4.13	9	1
A3IZ1OMUNEHN32	1	4.4625	4.6	3.88	4.58	4.79	20	0
ANIRDPX6I4G1H	1	4.25	3.67	4	5	4.33	3	0
A1QR9OJZTV7MZJ	1	3.975	3.89	3.22	4.25	4.54	38	1
AZIFZRDJKTQXE	1	4.9325	4.73	5	5	5	15	0
A3KKI9G328U87H	1	3.7025	3.39	3.2	4.11	4.11	23	0
A1SFG5VCOORFU5	1	4.3625	3.33	4.36	4.9	4.86	67	0
A3B3SACR4US7H7	1	4.0275	3.95	3.94	4.09	4.13	25	0
A2OQ6OUS0W12TL	1	3.7725	3.86	3	4.15	4.08	15	0
A1V2K975NIB657	1	3.66	4.11	1.33	4.58	4.62	19	0
A3NC2P2SPK9QQ	1	4.815	4.62	4.81	4.94	4.89	210	0
A3OVAJU1C9JQHA	1	4.9575	4.83	5	5	5	13	0
ATMLS1J6EE1WS	1	4.6875	3.75	5	5	5	4	0
A3R7CEQ8PLSB9N	1	4.605	4.59	4.56	4.71	4.56	19	0
A1CTSB5F0LCB95	1	3	2	0	5	5	3	1
AHB3XOAZXMZI4	1	2.4725	2.71	1	3.18	3	14	0
A322467WS3IGHV	1	5	5	5	5	5	4	0
A20527HBT0TW68	1	3.4175	3.67	0	5	5	3	0
AICSX276JM01	1	4.355	4.67	4	4.67	4.08	12	0
A3U0ZJEOCOTBKD	1	4.105	2.96	4	4.73	4.73	27	0
A21PJDQHKEAQCC	1	3.5775	4.39	2.42	3.09	4.41	46	0
A3WEVJPQ1LN6X	1	4.8925	4.64	5	4.93	5	32	0
AXDCKX3DM0665	1	4.75	4	5	5	5	8	2
ALSV21XJ4VKWE	1	3.15	2.73	2.67	2.95	4.25	24	0
A5J9PRI1CRIHE	1	3.25	3	0	5	5	2	0
A6HRH6JJGCCLR	1	4.035	3.14	5	4	4	7	0
A24YXV21ELHZJY	1	4.0725	3	4	4.86	4.43	9	0
AO2KH7R5BYDON	1	3.56	3.43	3.25	3.59	3.97	36	2
A6LCABS5GFSVI	1	4.21	3.38	4	4.73	4.73	24	0
A7LQQZGEWBFIV	1	3.5	4	0	5	5	8	0
A26CTZSAUXIVSA	1	3.7475	4.25	2.33	4.08	4.33	12	0
A8Q74QJIPP5IA	1	4.055	3.22	3	5	5	9	0
A3882YOCD4JWN8	1	3.8675	2.93	4	4.27	4.27	16	0
A27WE2Y6RWXR5G	1	4.0875	4.06	3.81	4.41	4.07	60	0
AS76IN8UMVLVT	1	4.3525	4.65	4.3	3.76	4.7	54	1
AAM4IUFREQX96	1	3.8125	3	4	4.25	4	5	0
A2CL1645M6YL3X	1	1.99	1.98	1.39	2.44	2.15	258	35
A29979FPDJ98R8	1	4.245	4.36	3.85	4.33	4.44	58	0
A20YDT4GEV73I1	1	4.5625	3.25	5	5	5	4	0
A1AEWP1AFVS84Z	1	3.15	3.4	1	4	4.2	5	0
A1H30RQG17TETD	1	4.875	4.5	5	5	5	2	0
A1AZQIIRPP5DHN	1	2.7	2	3	3.4	2.4	5	0
A2CMM50S8S18S3	1	1	1	1	1	1	4	4
A3VCB1JZGVWHJE	1	1.0625	1.25	1	1	1	4	0
A1SLW3XXAA1AE2	1	3.25	5	0	5	3	4	0
A39X1T193Y56PQ	1	4.9375	5	5	4.75	5	4	0
A26GOFPUOVIVR2	1	0	0	0	0	0	1	0
A1K73PRQ02797H	1	1.875	1	1	2.5	3	3	0
A27K8MZRRLNDAU	1	3.8675	3.22	3.77	4.35	4.13	34	0
A3947T57KX7DN5	1	1.3325	2.33	1	1	1	3	0
A1TEC8KUBV9U74	1	4.5	4	5	4.8	4.2	8	0
A3FLESG9A5OXLA	1	2.5	3	1	3	3	2	0
AON2T1NC0R4G9	1	0.25	1	0	0	0	5	0
A8MBVA9GEBRD6	1	2.045	2.07	1	2.25	2.86	46	10
A39SO23QXEFCWO	1	3.8575	3.67	3	4.38	4.38	16	0
AKB570QR3DDGK	1	3.75	5	0	5	5	3	0
AB08T8VA82SZS	1	3.375	3.5	0	5	5	2	0
A1UYG68V0JTNZO	1	3.655	3.14	4	4	3.48	33	0
A1FZXFQ1RY8WXS	1	3.75	5	0	5	5	1	0
A3GL1U6O4WVL8	1	4.8875	4.61	5	4.94	5	29	0
ALSHFW54UXYW4	1	4.145	3.83	3	4.75	5	8	2
ADH7UTZR4G0OS	1	3.1675	2.67	0	5	5	3	0
AP6XOUYI2FU4P	1	2.2075	2.5	0	4	2.33	4	0
AJ7XZN5KWOF9O	1	2.3625	2.39	1.75	2.76	2.55	34	0
A3VPD9AS82KSIZ	1	4.155	4	4	4.36	4.26	48	0
A3U0GEK9PV9R5R	1	4	5	1	5	5	5	0
A1T6EY2JB6S5ZZ	1	5	5	5	5	5	11	0
A32Z2JP8PCMLTI	1	3.63	3.62	3.41	3.88	3.61	28	0
A3PYDBIQ9R0XHV	1	1.5	1	5	0	0	3	0
A13WN1FBZ3SK2T	1	3.5	4	0	5	5	2	0
A3QLI7S1SW9HB1	1	3.5	4	0	5	5	3	0
A3OCJTULAHQ2UI	1	1.5	5	0	0	1	2	1
A21PJOXV6ZTOR8	1	2.84	2.83	2.33	3.2	3	7	0
A3HGU8FBZ3Z5GG	1	2.47	2.92	1.8	2.38	2.78	13	0
AV0Z3PR8L4GVG	1	3.63	3.04	3	4.19	4.29	29	4
A2EYUKPV1M3UWG	1	4.5	3	5	5	5	1	0
AYBHLX5IH8J39	1	4.695	3.78	5	5	5	9	0
AFCA6105H1TM0	1	3.8325	3.09	3.4	4.47	4.37	39	0
A2SUDQXR5LH4ND	1	3.75	5	0	5	5	2	0
A1BOHADFT0X1OT	1	4.45	4.4	4.2	4.6	4.6	10	0
A3PXUXAUARYJR6	1	3.25	4	0	5	4	2	0
A2JP8SUUPKMUU5	1	3.445	3.44	3	3.57	3.77	17	2
A3HLCR4YCHJWBI	1	5	5	5	5	5	3	0
A2Q1KVY3MURQ9D	1	4.9225	4.69	5	5	5	13	0
A625PKZQ6F1BA	1	3.665	2.88	3.75	4.2	3.83	8	0
A2IB1LQ3LLB62U	1	3.625	4.5	0	5	5	3	0
A11LRI5DZZOFOT	1	1.815	1.83	1	1.43	3	9	1
A358PLA1JJR94W	1	3.75	5	0	5	5	1	0
A2U7JOOWM5S7M8	1	3.79	3.44	3.56	4.05	4.11	26	0
A38BK812S9VNTM	1	3.75	5	0	5	5	2	0
A134T7UJ7WTSL5	1	3.4725	3.34	3.1	3.56	3.89	46	0
A34EN336S49QO7	1	4.5625	3.25	5	5	5	4	1
A2J2XAJ0KTYLIU	1	0.25	1	0	0	0	6	0
A15XGBBYAKKPBO	1	4.5275	3.74	4.43	4.94	5	28	0
AXSI7YAU7R7L0	1	3.34	3.86	0	4.5	5	7	0
A2ZRLQUR7UYZH	1	3.39	3.03	2.14	4.22	4.17	37	0
AC6HA1PU55QKZ	1	4.75	4	5	5	5	3	0
A181PQV4Q8S5S0	1	3.9175	4.33	5	2.67	3.67	4	1
A37KFRE3PX45GU	1	0.25	1	0	0	0	1	0
A33HGLCQT6DGEJ	1	3.7475	4.14	3.57	3.71	3.57	7	0
A2SY905TBFLXYQ	1	4.6275	3.93	5	4.58	5	14	0
A34QD6PUK3468O	1	4.7425	4.69	4.73	4.74	4.81	163	0
A35XVPV3OC3EVK	1	3.29	2.55	2.86	4	3.75	43	1
A263O8JPDCVJ8I	1	4.19	3.09	5	4.38	4.29	11	0
A3768U3SVS7SE7	1	3.675	2.42	3	4.64	4.64	22	0
AT1767HLJTZSK	1	3.6	3.4	1	5	5	6	0
A3LCIQF1AIQ7J1	1	3.4375	4.25	0	4.5	5	4	0
A39O6ZITQB83OS	1	4.1825	3.81	3.89	4.53	4.5	64	0
A3223C0RITQEE8	1	4.625	3.5	5	5	5	2	0
AMMYC7101RBEG	1	1.125	1.5	1	1	1	2	0
A372VQ4WOUSKNP	1	3.14	4.24	2.48	2.5	3.34	35	0
A1MLQHBDECXXOQ	1	3.3325	3.33	0	5	5	3	0
A3FB3LMEFKY67W	1	4.255	3.82	5	4	4.2	11	0
AG5RSCJEOS63A	1	3.75	5	0	5	5	1	0
A3H7VSVDYXA00O	1	3.44	3.76	0	5	5	19	0
A35EO441LXU9K2	1	4.0825	3.33	3	5	5	3	0
A1PEL4RKBSNET0	1	3.1725	3.33	2.82	3.22	3.32	30	0
A1EYPAO4U8B2ZV	1	3.6675	5	0	4.67	5	3	0
A3IVP857YLUUKJ	1	4.7925	4.17	5	5	5	27	0
A1QIWAWEXZWYBU	1	3.8775	3.14	3.8	5	3.57	8	0
A1A9BZDSCK82WS	1	4.9575	4.83	5	5	5	6	0
A3RBHTU8ACDJ4E	1	4.6925	3.77	5	5	5	13	0
A35PNBVSQCVAFE	1	3.5	4	0	5	5	4	0
A2O082RJ3GFK5U	1	2.8525	2.75	1	3.33	4.33	4	0
A1XKGAWLV8BR1Q	1	4.29	4.55	3	4.81	4.8	23	0
A3A31X27I7Y4UH	1	4.595	3.88	5	4.5	5	20	0
A21MK2DTR5ZJJ0	1	4.075	3.44	4.2	4.33	4.33	11	0
AJHIUDEKSW1RD	1	3.17	3.58	2.43	3.5	3.17	12	0
A3VGKL8XELRK88	1	2.3375	2.46	2.25	2.64	2	13	1
A3GDBVOQNV2NQI	1	3.2525	4.67	0	3.67	4.67	3	0
ALDTFZWMNJJXN	1	3.135	3.18	2.94	3.28	3.14	99	1
A24VBZXSLY80GN	1	3.08	3.33	2.59	3.67	2.73	24	0
A6K8EXQJA6A5U	1	5	5	5	5	5	4	1
AQ292PUTQ5UI7	1	2.9625	2.48	2.44	3.73	3.2	22	0
AYE8XGAZ3CK9N	1	1.6675	1.67	1	2	2	5	0
ARSBGE4L46MNW	1	4.63	3.64	5	4.88	5	24	0
AAHISD49UA8XP	1	4.9175	4.67	5	5	5	4	1
A3UWROVFPC6X5M	1	4.7	3.8	5	5	5	5	0
ATK2L9EK9TVGR	1	4.485	4.75	4	4.71	4.48	33	2
A3Y7JPT5WX92J	1	4.7675	4.76	4.79	4.76	4.76	19	0
A3FTKWRJSKZ4VH	1	5	5	5	5	5	2	0
A324HXK1PBJI5U	1	1	1	1	1	1	5	4
A2N293FN96JFPI	1	3.6675	4.67	0	5	5	3	0
A1N1X1NYAYFOOI	1	2.625	1.5	0	4	5	2	0
A23UQ2KZH7FOZG	1	3.625	4.5	0	5	5	2	0
A217F69HN3M789	1	5	5	5	5	5	3	0
AIMMBX6OPFIF9	1	3.1	2.4	0	5	5	5	0
A168APXKZ8VXAJ	1	4.5	3	5	5	5	3	0
A9BOVMKOEHDM1	1	3.3125	3.75	1	4.17	4.33	8	0
A1ADM0YYC2CQ0W	1	3.375	3.5	0	5	5	2	0
A2NWNML0Q7Y305	1	0	0	0	0	0	1	1
A1DMB6BVEDY8R8	1	4.0425	3.83	3.5	4.52	4.32	24	2
A1SDX1BFRYC12Q	1	2	2	0	3	3	5	0
A2G4ZM8VYVZEF4	1	3.125	1.5	1	5	5	6	0
ARI13FZ8M1XBT	1	4.7925	4.17	5	5	5	13	0
A1IRXOVH2T9HUW	1	1	1	1	1	1	2	0
A235EABRGE1QQN	1	2.75	1	0	5	5	8	0
A3RRZVECMOEG03	1	4.9175	4.67	5	5	5	3	0
AML6CMWWLB6XJ	1	2.9175	3.33	1	3.67	3.67	8	4
A3PBTMOF90ZCZG	1	0.75	0	1	1	1	2	0
A230NEU0QX0NSO	1	4.2925	3.5	3.67	5	5	25	0
A3O6WPXFW2HRTF	1	3.375	4	0	4.5	5	2	0
AKZZCEDUWTKMK	1	4.6675	5	3.67	5	5	6	0
A2APGRZXCP5MNZ	1	3.75	5	0	5	5	3	0
A2DY9QY6YQL6P7	1	2.4825	2.8	1	3.8	2.33	6	0
A38922HEG09W5E	1	3.25	2	1	5	5	8	0
AKZF9UP58OZC3	1	3.3175	3.6	0	5	4.67	9	0
A13YV2LD0WTS7K	1	3.4575	3.83	0	5	5	9	0
A1PI0NVSJRFVTP	1	3	2	0	5	5	1	0
AD5AX3X84I247	1	3.6175	3.32	3	4.24	3.91	33	3
A24GLRPZH69FUH	1	2.7125	3.6	1	3.25	3	5	0
AXVD8051S37AY	1	3.1975	3.19	0	4.75	4.85	25	0
AF72CZH9468MK	1	4.6775	4.68	4.44	4.74	4.85	33	1
AVM6Y04W5T8RX	1	3.75	5	0	5	5	1	0
A2CADSBQ5DP6IO	1	4.7225	4	4.89	5	5	16	0
A2D8C62K1A8KP1	1	4.9725	4.92	5	5	4.97	40	0
A1349FU2X0EF0N	1	0.25	1	0	0	0	1	0
A2HN38GUC0CZ3A	1	4.725	4.8	4.33	4.77	5	26	0
A2JLPDE1B6WHDQ	1	4.75	4	5	5	5	3	0
A2G8YSUBJG66QK	1	2.25	2	1	3	3	4	0
ADDPBQ3O9340Q	1	5	5	5	5	5	3	0
